Heading,Category,Member_ID,Role,Owner_ID,Owner_Role
Advising,Math - Computer Science,0001010,Advisee,0002234,Primary Advisor
Advising,Math - Computer Science,0001011,Advisee,0002234,Primary Advisor
Advising,Math - Computer Science,0001012,Advisee,0002234,Primary Advisor
Advising,Math - Computer Science,0001013,Advisee,0002234,Primary Advisor
Advising,Math - Computer Science,0001014,Advisee,0002234,Primary Advisor
Advising,Math - Computer Science,0001015,Advisee,0002234,Primary Advisor
Advising,Math - Computer Science,0001010,Advisee,0002237,Secondary Advisor
Advising,Math - Computer Science,0001011,Advisee,0002237,Secondary Advisor
Advising,Math - Computer Science,0001012,Advisee,0002237,Secondary Advisor
Advising,Math - Computer Science,0001013,Advisee,0002237,Secondary Advisor
Advising,Math - Computer Science,0001014,Advisee,0002237,Secondary Advisor
Advising,Math - Computer Science,0001015,Advisee,0002237,Secondary Advisor
Advising,Math - Computer Science,0001020,Advisee,0002235,Primary Advisor
Advising,Math - Computer Science,0001021,Advisee,0002235,Primary Advisor
Advising,Math - Computer Science,0001022,Advisee,0002235,Primary Advisor
Advising,Math - Computer Science,0001026,Advisee,0002235,Primary Advisor
Advising,Math - Computer Science,0001023,Advisee,0002236,Secondary Advisor
Advising,Math - Computer Science,0001024,Advisee,0002236,Secondary Advisor
Advising,Math - Computer Science,0001025,Advisee,0002236,Secondary Advisor
Advising,Science - Biology,0001030,Advisee,0002235,Primary Advisor
Advising,Science - Biology,0001031,Advisee,0002235,Primary Advisor
Advising,Science - Biology,0001032,Advisee,0002235,Primary Advisor
Advising,Science - Biology,0001033,Advisee,0002235,Primary Advisor
Advising,Science - Biology,0001034,Advisee,0002235,Primary Advisor
Advising,Science - Biology,0001035,Advisee,0002235,Primary Advisor
