Student_ID,Course_Number,Midterm_Grade,Current_Grade,Absences,Last_Absence
0001015,ART120-01,C,F,5,2018-05-09
0001035,ART120-01,F,C,3,2018-04-30
0001011,ART120-01,A,C,5,2018-05-10
0001017,ART120-01,C,F,1,2018-05-10
0001023,ART120-01,D,F,3,2018-04-27
0001017,ART121-01,F,F,3,2018-04-30
0001002,ART121-01,A,D,3,2018-05-11
0001022,ART121-01,F,A,1,2018-05-01
0001021,ART121-01,A,D,3,2018-04-27
0001001,ART321-01,F,F,5,2018-05-09
0001012,ART321-01,F,A,4,2018-05-06
0001029,ART321-01,C,B,5,2018-04-29
0001031,ART321-01,C,D,1,2018-05-04
0001007,ART321-01,A,A,3,2018-05-11
0001027,ART321-01,A,C,1,2018-05-10
0001026,ART321-01,F,A,3,2018-05-10
0001024,ART321-01,F,D,3,2018-05-10
0001009,ART321-01,A,C,5,2018-04-28
0001004,MK120-01,F,F,4,2018-05-05
0001012,MK120-01,F,F,4,2018-05-08
0001002,MK120-01,D,F,4,2018-05-09
0001019,MK120-01,F,C,4,2018-04-27
0001009,MK120-01,C,F,1,2018-04-28
0001017,MK120-01,F,F,3,2018-05-05
0001030,MK120-01,D,D,4,2018-04-29
0001003,MK120-01,D,A,1,2018-05-10
0001023,MK120-01,C,B,4,2018-05-04
0001013,MK220-01,F,C,3,2018-05-04
0001024,MK220-01,F,F,3,2018-05-07
0001007,MK220-01,D,F,3,2018-05-02
0001028,MK220-01,A,A,4,2018-05-11
0001026,MK320-01,B,F,5,2018-04-30
0001035,MK320-01,B,B,4,2018-05-11
0001001,MK320-01,D,F,4,2018-05-01
0001037,MK320-01,C,C,2,2018-05-10
0001012,SP120-01,F,F,5,2018-05-03
0001026,SP120-01,C,B,1,2018-04-27
0001034,SP120-01,F,C,1,2018-04-28
0001003,SP120-01,A,D,2,2018-05-08
0001025,SP120-01,C,D,4,2018-05-09
0001001,SP120-01,D,D,2,2018-05-06
0001013,SP120-01,B,C,1,2018-05-08
0001007,SP120-01,F,C,2,2018-05-09
0001012,SP220-01,B,C,5,2018-05-04
0001009,SP220-01,B,F,3,2018-04-28
0001028,SP220-01,F,D,5,2018-05-03
0001005,SP220-01,F,F,5,2018-05-08
0001024,SP320-01,D,A,4,2018-05-03
0001008,SP320-01,B,F,4,2018-05-06
0001015,SP320-01,B,C,5,2018-05-09
0001028,SP320-01,F,A,5,2018-04-30
0001004,CS120-01,C,D,2,2018-05-11
0001003,CS120-01,A,F,2,2018-05-10
0001032,CS120-01,C,F,1,2018-05-08
0001036,CS120-01,A,B,2,2018-04-28
0001029,CS120-01,F,F,4,2018-05-02
0001013,CS120-01,C,F,5,2018-05-04
0001039,CS120-01,A,A,1,2018-04-29
0001037,CS120-01,A,F,5,2018-05-04
0001015,CS120-01,D,F,2,2018-05-09
0001002,CS120-02,C,A,4,2018-05-02
0001027,CS120-02,A,A,5,2018-05-02
0001016,CS120-02,B,B,3,2018-04-29
0001009,CS120-02,F,F,1,2018-04-29
0001019,CS120-02,A,D,5,2018-05-05
0001034,CS120-02,D,A,1,2018-05-05
0001005,CS120-02,D,A,2,2018-05-08
0001024,CS120-02,F,C,3,2018-05-03
0001009,EN120-01,A,A,1,2018-04-29
0001005,EN120-01,B,F,1,2018-05-01
0001001,EN120-01,F,C,5,2018-05-05
0001037,EN120-01,D,C,2,2018-04-27
0001007,EN120-01,B,D,3,2018-05-10
0001013,EN120-01,B,F,1,2018-05-09
0001006,EN120-01,D,D,3,2018-05-05
0001019,EN220-01,F,C,1,2018-05-08
0001013,EN220-01,B,F,4,2018-05-01
0001017,EN220-01,F,F,4,2018-05-02
0001003,EN220-01,F,B,1,2018-05-03
0001036,EN220-01,D,C,3,2018-05-11
0001009,EN320-01,A,A,1,2018-05-07
0001039,EN320-01,D,F,5,2018-05-02
0001019,EN320-01,B,C,2,2018-04-30
0001032,EN320-01,D,F,5,2018-05-09
0001023,EN320-01,C,F,4,2018-04-30
0001024,EN320-01,D,D,5,2018-04-29
0001016,EN320-01,A,F,3,2018-04-28
0001017,EN320-01,F,C,2,2018-05-03
0001002,EN320-01,D,F,4,2018-05-10
0001015,FIN349-01,D,F,2,2018-05-07
0001004,FIN349-01,F,A,5,2018-05-02
0001022,FIN349-01,C,A,4,2018-05-10
0001030,FIN349-01,A,F,2,2018-05-03
0001003,FIN349-01,D,D,3,2018-04-28
0001008,FIN349-02,B,F,5,2018-05-09
0001003,FIN349-02,F,C,2,2018-04-29
0001016,FIN349-02,F,B,2,2018-05-09
0001015,FIN349-02,D,A,2,2018-05-07
0001027,FIN349-02,B,C,5,2018-05-01
0001024,FIN349-02,B,A,4,2018-04-28
0001005,FIN349-02,A,B,4,2018-05-07
0001006,ACC219-02,A,F,5,2018-05-02
0001009,ACC219-02,D,B,2,2018-05-03
0001017,ACC219-02,F,F,4,2018-05-05
0001027,ACC219-02,D,D,1,2018-05-09
0001023,ACC219-02,D,F,5,2018-04-27
0001001,ACC219-02,C,A,3,2018-05-05
0001017,MT120-01,B,A,3,2018-04-30
0001008,MT120-01,F,A,4,2018-05-06
0001022,MT120-01,B,A,3,2018-05-09
0001034,MT120-01,A,B,1,2018-04-29
0001023,MT120-02,A,F,1,2018-05-06
0001034,MT120-02,D,F,5,2018-05-02
0001003,MT120-02,B,C,2,2018-04-27
0001027,MT120-02,D,F,3,2018-05-02
0001006,MT220-01,C,A,3,2018-05-01
0001038,MT220-01,F,A,3,2018-05-05
0001004,MT220-01,F,B,1,2018-05-10
0001036,MT220-01,C,B,1,2018-05-05
0001032,MT320-01,B,C,3,2018-05-01
0001025,MT320-01,F,B,1,2018-05-04
0001029,MT320-01,C,A,3,2018-05-05
0001037,MT320-01,B,F,2,2018-05-04
0001017,MT320-01,F,A,1,2018-04-27
0001011,MT320-01,B,A,1,2018-05-11
0001007,MT320-01,B,A,2,2018-05-01
0001024,MT320-01,F,D,5,2018-05-07
0001028,CS220-01,D,D,2,2018-05-04
0001038,CS220-01,F,F,4,2018-05-04
0001022,CS220-01,C,F,2,2018-04-30
0001037,CS220-01,D,F,4,2018-05-01
0001035,CS220-01,A,F,1,2018-04-27
0001004,CS220-01,A,C,5,2018-05-05
0001019,CS220-01,F,F,4,2018-05-11
0001008,CS220-01,F,A,2,2018-04-27
0001006,CS320-01,F,A,3,2018-04-28
0001039,CS320-01,F,D,4,2018-04-29
0001038,CS320-01,C,D,5,2018-05-10
0001016,CS320-01,F,C,3,2018-05-09
0001030,SC120-01,D,B,5,2018-05-06
0001038,SC120-01,D,A,1,2018-05-09
0001035,SC120-01,F,A,3,2018-05-10
0001011,SC120-01,C,D,2,2018-05-08
0001019,SC120-01,F,F,3,2018-05-03
0001004,SC120-01,B,D,3,2018-05-07
0001008,SC120-01,F,D,2,2018-05-03
0001005,SC120-01,A,B,3,2018-05-07
0001039,SC121-01,B,D,3,2018-05-10
0001030,SC121-01,F,C,1,2018-05-10
0001020,SC121-01,C,C,3,2018-04-30
0001028,SC121-01,F,F,4,2018-05-03
0001026,SC121-02,A,F,4,2018-05-04
0001029,SC121-02,A,F,5,2018-05-10
0001009,SC121-02,F,F,2,2018-05-02
0001012,SC121-02,B,B,4,2018-05-04
0001011,SC121-02,F,F,3,2018-05-11
0001010,SC121-02,A,A,3,2018-05-04
0001014,SC120-02,F,B,3,2018-05-10
0001020,SC120-02,F,F,5,2018-05-04
0001039,SC120-02,F,D,2,2018-04-30
0001015,SC120-02,B,F,4,2018-04-29
0001022,SC120-02,C,C,5,2018-05-02
0001032,SC120-02,A,B,2,2018-05-04
0001002,SC120-02,C,F,5,2018-05-07
0001018,SC120-02,F,F,1,2018-05-06
0001033,SC120-02,F,F,1,2018-05-09
0001011,SC220-01,A,F,5,2018-05-06
0001005,SC220-01,B,D,2,2018-05-01
0001003,SC220-01,F,C,3,2018-05-05
0001008,SC220-01,F,C,4,2018-05-08
0001028,SC220-01,A,B,3,2018-05-05
0001006,SC220-01,F,B,4,2018-05-03
0001023,SC299-01,D,C,3,2018-05-11
0001004,SC299-01,B,B,2,2018-05-06
0001017,SC299-01,B,C,2,2018-05-03
0001019,SC299-01,D,B,5,2018-05-08
0001001,SC299-02,C,C,3,2018-05-08
0001005,SC299-02,B,D,2,2018-05-03
